"Name","Rule ID","Description","Impact","Section 508","Super Waggy"
"Duplicated ARIA ID","duplicate-id-aria","Ensures IDs used in ARIA and labels are unique",,false,false
"Image Alternative Text","image-alt","Ensures <img> elements have alternate text or a role of none or presentation",,false,false
"HTML has Lang Attribute","html-has-lang","Ensures every HTML document has a lang attribute",,false,false
"Document Title","document-title","Ensures each HTML document contains a non-empty <title> element",,false,false
"Meta Refresh","meta-refresh","Ensures <meta http-equiv=""refresh""> is not used for delayed refresh","Critical",false,true
"HTML Lang Valid","html-lang-valid","Ensures the lang attribute of the <html> element has a valid value",,false,false
"Avoid Inline Spacing","avoid-inline-spacing","Ensure that text spacing set through style attributes can be adjusted with custom stylesheets","Serious",false,false
"ARIA Allowed Role","aria-allowed-role","Ensures role attribute has an appropriate value for the element","Minor",false,false
"Skip Link","skip-link","Ensure all skip links have a focusable target","Moderate",false,false
"Hidden Content","hidden-content","Informs users about hidden content.","Minor",false,false
"Nested Interactive","nested-interactive","Ensures interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies","Serious",false,true
"No Autoplay Audio","no-autoplay-audio","Ensures <video> or <audio> elements do not autoplay audio for more than 3 seconds without a control mechanism to stop or mute the audio","Moderate",false,true
"Object Alternative Text","object-alt","Ensures <object> elements have alternate text","Serious",true,true
"ARIA Required Parent","aria-required-parent","Ensures elements with an ARIA role that require parent roles are contained by them","Critical",false,true
"ARIA Toggle Field Name","aria-toggle-field-name","Ensures every ARIA toggle field has an accessible name","Moderate, Serious",false,true
"ARIA Tooltip Name","aria-tooltip-name","Ensures every ARIA tooltip node has an accessible name","Serious",false,true
"ARIA Valid Attribute Value","aria-valid-attr-value","Ensures all ARIA attributes have valid values","Serious, Critical",false,true
"ARIA Valid Attribute","aria-valid-attr","Ensures attributes that begin with aria- are valid ARIA attributes","Critical",false,true
"ARIA DPUB Role Fallback","aria-dpub-role-fallback","Ensures DPUB roles used fall back to their base role",,false,false
"Radio Group","radiogroup","Ensures related form elements have a group and that the group designation is consistent",,false,false
"Layout Table","layout-table","Ensures layout tables do not use data table elements",,false,false
"Checkbox Group","checkboxgroup","Ensures related checkboxes are grouped together",,false,false
"Video Description","video-description","Ensures <video> elements have captions and/or an audio description track",,false,false
"Complementary Landmark Is Top Level","landmark-complementary-is-top-level","Ensures the complementary landmark or aside is at top level","Moderate",false,false
"Contentinfo Landmark Is Top Level","landmark-contentinfo-is-top-level","Ensures the contentinfo landmark is at top level","Moderate",false,false
"Main Landmark Is Top Level","landmark-main-is-top-level","Ensures the main landmark is at top level","Moderate",false,false
"No Duplicate Main Landmark","landmark-no-duplicate-main","Ensures the document has at most one main landmark","Moderate",false,false
"Presentation Role Conflict","presentation-role-conflict","Elements marked as presentational should not have global ARIA or tabindex to ensure all screen readers ignore them","Minor",false,false
"Region","region","Ensures all page content is contained by landmarks","Moderate",false,false
"Scope Attribute Valid","scope-attr-valid","Ensures the scope attribute is used correctly on tables","Moderate, Critical",false,false
"Color Contrast Enhanced","color-contrast-enhanced","Ensures the contrast between foreground and background colors meets WCAG 2 AAA enhanced contrast ratio thresholds","Serious",false,true
"Duplicated ID","duplicate-id","Ensures every id attribute value is unique",,false,false
"Identical Links Same Purpose","identical-links-same-purpose","Ensure that links with the same accessible name serve a similar purpose","Minor",false,true
"Unique Frame Title","frame-title-unique","Ensures <iframe> and <frame> elements contain a unique title attribute",,false,false
"Duplicated Active ID","duplicate-id-active","Ensure every id attribute value used in active elements is unique",,false,false
"HTML XML Lang Mismatch","html-xml-lang-mismatch","Ensure HTML lang and XML:lang attributes have the same base language",,false,false
"CSS Orientation Lock","css-orientation-lock","Ensures content is not locked to any specific display orientation, and the content is operable in all display orientations","Serious",false,true
"Frame Title","frame-title","Ensures <iframe> and <frame> elements contain a non-empty title attribute",,false,false
"Accesskeys Unique","accesskeys","Ensures every accesskey attribute value is unique","Serious",false,false
"Page Bypass","bypass","Ensures each page has at least one mechanism for a user to bypass navigation and jump straight to the content","Serious",true,true
"ARIA Dialog Name","aria-dialog-name","Ensures every ARIA dialog and alertdialog node has an accessible name","Serious",false,false
"ARIA Text","aria-text","Ensures ""role=text"" is used on elements with no focusable descendants","Serious",false,false
"ARIA Treeitem Name","aria-treeitem-name","Ensures every ARIA treeitem node has an accessible name","Serious",false,false
"Empty Heading","empty-heading","Ensures headings have discernible text","Minor",false,false
"Empty Table Header","empty-table-header","Ensures table headers have discernible text","Minor",false,false
"Iframe Tested","frame-tested","Ensures <iframe> and <frame> elements contain the axe-core script","Critical",false,false
"Heading Order","heading-order","Ensures the order of headings is semantically correct","Moderate",false,false
"Image Redundant Alt","image-redundant-alt","Ensure image alternative is not repeated as text","Minor",false,false
"Label Title Only","label-title-only","Ensures that every form element has a visible label and is not solely labeled using hidden labels, or the title or aria-describedby attributes","Serious",false,false
"Banner Landmark Is Top Level","landmark-banner-is-top-level","Ensures the banner landmark is at top level","Moderate",false,false
"No Duplicate Banner Landmark","landmark-no-duplicate-banner","Ensures the document has at most one banner landmark","Moderate",false,false
"No Duplicate Contentinfo Landmark","landmark-no-duplicate-contentinfo","Ensures the document has at most one contentinfo landmark","Moderate",false,false
"One Main Landmark","landmark-one-main","Ensures the document has a main landmark","Moderate",false,false
"Unique Landmark","landmark-unique","Landmarks should have a unique role or role/label/title (i.e. accessible name) combination","Moderate",false,false
"Large Meta Viewport","meta-viewport-large","Ensures <meta name=""viewport""> can scale a significant amount","Minor",false,false
"Page Has Heading One","page-has-heading-one","Ensure that the page, or at least one of its frames contains a level-one heading","Moderate",false,false
"Tabindex","tabindex","Ensures tabindex attribute values are not greater than 0","Serious",false,false
"Table Duplicate Name","table-duplicate-name","Ensure the <caption> element does not contain the same text as the summary attribute","Minor",false,false
"Focus Order Semantics","focus-order-semantics","Ensures elements in the focus order have a role appropriate for interactive content","Minor",false,false
"Valid Lang","valid-lang","Ensures lang attributes have valid values","Serious",false,true
"Target Size","target-size","Ensure touch target have sufficient size and space","Serious",false,true
"No Exceptions Meta Refresh","meta-refresh-no-exceptions","Ensures <meta http-equiv=""refresh""> is not used for delayed refresh","Minor",false,true
"Label Content Name Mismatch","label-content-name-mismatch","Ensures that elements labelled through their content must have their visible text as part of their accessible name","Serious",false,true
"Paragraph As Heading","p-as-heading","Ensure bold, italic text and font-size is not used to style <p> elements as a heading","Serious",false,true
"ARIA Role Description","aria-roledescription","Ensure aria-roledescription is only used on elements with an implicit or explicit role","Serious",false,true
"Role Img Alt","role-img-alt","Ensures [role='img'] elements have alternate text","Serious",true,true
"Color Contrast","color-contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Serious",false,true
"Definition List","definition-list","Ensures <dl> elements are structured correctly","Serious",false,true
"DL Item","dlitem","Ensures <dt> and <dd> elements are contained by a <dl>","Serious",false,true
"Link In Text Block","link-in-text-block","Ensure links are distinguished from surrounding text in a way that does not rely on color","Serious",false,true
"List","list","Ensures that lists are structured correctly","Serious",false,true
"List Item","listitem","Ensures <li> elements are used semantically","Serious",false,true
"Marquee","marquee","Ensures <marquee> elements are not used","Serious",false,true
"Scrollable Region Focusable","scrollable-region-focusable","Ensure elements that have scrollable content are accessible by keyboard","Serious",false,true
"ARIA Required Attr","aria-required-attr","Ensures elements with ARIA roles have all required ARIA attributes","Critical",false,true
"ARIA Required Children","aria-required-children","Ensures elements with an ARIA role that require child roles contain them","Critical",false,true
"Meta Viewport","meta-viewport","Ensures <meta name=""viewport""> does not disable text scaling and zooming","Critical",false,true
"ARIA Roles","aria-roles","Ensures all elements with a role attribute use a valid value","Minor, Serious, Critical",false,true
"Autocomplete Valid","autocomplete-valid","Ensure the autocomplete attribute is correct and suitable for the form field","Serious",false,true
"ARIA Allowed Attr","aria-allowed-attr","Ensures ARIA attributes are allowed for an element's role","Serious, Critical",false,true
"ARIA Command Name","aria-command-name","Ensures every ARIA button, link and menuitem has an accessible name","Serious",false,true
"ARIA Hidden Body","aria-hidden-body","Ensures aria-hidden='true' is not present on the document body.","Critical",false,true
"ARIA Hidden Focus","aria-hidden-focus","Ensures aria-hidden elements are not focusable nor contain focusable elements","Serious",false,true
"ARIA Input Field Name","aria-input-field-name","Ensures every ARIA input field has an accessible name","Moderate, Serious",false,true
"ARIA Meter Name","aria-meter-name","Ensures every ARIA meter node has an accessible name","Serious",false,true
"ARIA Progressbar Name","aria-progressbar-name","Ensures every ARIA progressbar node has an accessible name","Serious",false,true
"Blink","blink","Ensures <blink> elements are not used","Serious",true,true
"Button Name","button-name","Ensures buttons have discernible text","Critical",true,true
"Input Button Name","input-button-name","Ensures input buttons have discernible text","Critical",true,true
"Label","label","Ensures every form element has a label","Minor, Critical",true,true
"Link Name","link-name","Ensures links have discernible text","Serious",true,true
"Select Name","select-name","Ensures select element has an accessible name","Minor, Critical",true,true
"SVG Img Alt","svg-img-alt","Ensures <svg> elements with an img, graphics-document or graphics-symbol role have an accessible text","Serious",true,true
"Input Image Alt","input-image-alt","Ensures <input type=""image""> elements have alternate text","Critical",true,true
"Server-Side Image Map","server-side-image-map","Ensures that server-side image maps are not used","Minor",true,true
"Area Alt","area-alt","Ensures <area> elements of image maps have alternate text","Critical",true,true
"TD Headers Attr","td-headers-attr","Ensure that each cell in a table that uses the headers attribute refers only to other cells in that table","Serious",true,true
"TH Has Data Cells","th-has-data-cells","Ensure that <th> elements and elements with role=columnheader/rowheader have data cells they describe","Serious",true,true
"Video Caption","video-caption","Ensures <video> elements have captions","Critical",true,true
"Table Fake Caption","table-fake-caption","Ensure that tables with a caption use the <caption> element.","Serious",true,true
"TD Has Header","td-has-header","Ensure that each non-empty data cell in a <table> larger than 3 by 3 has one or more table headers","Critical",true,true
"Audio Caption","audio-caption","Ensures <audio> elements have captions","Critical",true,true
